Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Hufflepuff,Rico,Sargent,2001-10-06,Right,41642.0,896.0015518507417,3.0201723778093963,-6.960960714808824,7.996,-365.1518504531068,211.81449326528383,4.207690767250213,1046.7427360602487,3.6689832316813447,0.3738525472517433,-244.48172,-13.62
1,Ravenclaw,Tamara,Shackelford,1998-01-08,Left,45352.0,258.17996629760984,2.9652261693057698,3.708446553065121,6.349,522.5804860261724,813.9003016163555,6.460017331082373,1048.0538781192083,8.51462223474569,0.5774322733924575,-231.292,-26.26
2,Gryffindor,Staci,Crandall,1998-09-15,Left,43502.0,671.3514893284057,-6.185696587080503,-3.2030399042023268,4.619,-630.0732069461911,771.4637104059842,-5.565818052162058,936.4373579469948,1.8508293300849623,-1.6471500089738849,-252.99343,200.15
3,Hufflepuff,Dee,Gavin,2001-05-10,Right,61831.0,723.3000339808883,4.962441602980879,,,-449.1798058002609,311.0404463945434,,1043.3977178876494,4.656572653588079,1.164707896993084,-244.0166,-11.15
4,Hufflepuff,Gregory,Gustafson,1999-02-01,Right,,652.2419366978695,3.737655971167968,-2.883377471415188,4.886,-449.7321661455943,190.49635746213698,2.8763465676859883,1051.3779355988024,2.750586103354796,0.102104408931486,-243.99806,-7.12
5,Slytherin,Katharine,Ebert,1998-09-25,Left,60888.0,191.64768847861302,-7.327170322866657,4.821390963522175,-6.6110000000000015,-525.2725025237612,114.2300669414421,5.197858179249288,1070.712142717006,10.032461125685584,-2.1852199688256664,-253.62839,-126.66
6,Ravenclaw,Elizebeth,Clemens,1998-12-16,Left,46583.0,188.11923528760974,4.276265977488614,4.880414529003729,4.916,408.9254737415581,902.5558222156723,3.5779424817589587,1046.2171724880452,7.922499688836782,-1.1784556822092844,-231.5856,32.67
7,Hufflepuff,Santo,Simonson,1999-01-04,Left,42013.0,883.4763452047506,4.024691099123406,-6.7514404761601625,5.1080000000000005,-590.514803881303,258.56099552262333,4.672595325050304,1056.701013197971,7.132861059425293,0.5631179851568311,-245.93425,13.45
8,Ravenclaw,Rosalyn,Gee,1997-09-01,Left,27434.0,175.72941688860175,7.146464798490754,5.087670008385747,4.586,512.8501336932145,781.3754334680311,3.12979163174824,1040.7342323213866,5.783287107300602,0.4193343687566451,-229.42604,60.88
9,Hufflepuff,Karen,Skaggs,2001-08-11,Left,33500.0,671.1018351325015,6.55800346202798,-3.1988637170795178,2.652,-449.9265947720796,276.68845349234374,4.754587065505914,1036.4056167017625,5.773881664894601,-0.1840823112278276,-242.76836,46.29
10,Hufflepuff,Mollie,Donohue,1999-07-07,Right,47320.0,981.2436238858875,7.307270573734564,-8.386880444558479,4.148,-461.4814298448504,89.03080396558713,1.7886372327735232,1049.3551372721265,1.582542749553446,-1.3043658663214417,-247.98054,38.54
11,Slytherin,Filiberto,Beebe,2000-01-09,Left,46821.0,125.47020602646231,-5.193860230814356,5.92840039725317,-5.205,,209.96506376890204,4.430113403077925,1054.1707135953627,8.897999259725578,0.2026727152756092,-249.41488,-74.31
12,Slytherin,Carmen,Washington,1998-02-18,Right,54547.0,228.54006672712447,-7.862746374777414,4.204259437199704,-2.059,-240.32514629775287,444.6476197278044,5.936734828825891,1031.3856283427217,10.539315699055567,-2.196523838150531,-248.69091,-80.08
13,Slytherin,Milford,Bader,2000-02-01,Right,60483.0,225.25847012301392,-4.563680765324642,4.259153613645244,-6.9220000000000015,-487.7828233902365,191.92283590339062,3.179448297627532,1057.9875620279022,8.495121102474247,0.7580812340399731,-253.07643,-63.92
14,Slytherin,Nathanael,Holland,1997-08-08,Right,46012.0,225.8922943426651,-2.860623586520868,4.248551073861589,-4.828,-538.4535201427743,295.85684116041716,2.5993554541920405,1056.327057977749,9.072908001487296,-1.005776010678949,-249.44113,-16.04
15,Hufflepuff,Nilda,Peyton,2001-06-16,Right,58059.0,785.5853410090724,4.554058435209567,,5.2570000000000014,-621.1801426688357,2.7599823243927237,7.445043673737088,1069.634668916895,4.390774539593696,-0.8758482364916172,-245.17056,-90.75
16,Ravenclaw,Tasha,Lyons,1997-11-30,Left,40414.0,308.0607541365297,4.573500186284839,2.8740463816844124,6.2360000000000015,324.44471183127007,768.8740069882621,3.185660862953484,1039.069611395513,5.8181170330398775,0.1436782306047705,-232.80601,36.26
17,Slytherin,Briana,Diamond,1999-12-24,Left,54521.0,221.06310188592985,-4.616780757661369,4.329333258508366,-4.632,-709.282606285322,191.89339876194828,4.102166347518523,1072.9305098253635,9.916365624971515,1.628480849403236,-250.88116,-75.58
18,Ravenclaw,Belle,Jasper,2001-01-28,Left,37327.0,258.5955660185128,6.0909017168775845,3.7014944479887744,6.211,617.6647509488283,849.2795036976667,3.1713639079395937,1070.323984019598,7.529848873222487,0.0989729130871432,-229.40354,24.75
